Invoice ID,Branch,City,Date,Time,Payment
750-67-8428,A,Yangon,2019-01-05,13:08:00,Ewallet
226-31-3081,C,Naypyitaw,2019-03-08,10:29:00,Cash
631-41-3108,A,Yangon,2019-03-03,13:23:00,Credit card
123-19-1176,A,Yangon,2019-01-27,20:33:00,Ewallet
373-73-7910,A,Yangon,2019-02-08,10:37:00,Ewallet
699-14-3026,C,Naypyitaw,2019-03-25,18:30:00,Ewallet
355-53-5943,A,Yangon,2019-02-25,14:36:00,Ewallet
315-22-5665,C,Naypyitaw,2019-02-24,11:38:00,Ewallet
665-32-9167,A,Yangon,2019-01-10,17:15:00,Credit card
692-92-5582,B,Mandalay,2019-02-20,13:27:00,Credit card
351-62-0822,B,Mandalay,2019-02-06,18:07:00,Ewallet
529-56-3974,B,Mandalay,2019-03-09,17:03:00,Cash
365-64-0515,A,Yangon,2019-02-12,10:25:00,Ewallet
252-56-2699,A,Yangon,2019-02-07,16:48:00,Ewallet
829-34-3910,A,Yangon,2019-03-29,19:21:00,Cash
299-46-1805,B,Mandalay,2019-01-15,16:19:00,Cash
656-95-9349,A,Yangon,2019-03-11,11:03:00,Credit card
765-26-6951,A,Yangon,2019-01-01,10:39:00,Credit card
329-62-1586,A,Yangon,2019-01-21,18:00:00,Credit card
319-50-3348,B,Mandalay,2019-03-11,15:30:00,Ewallet
300-71-4605,C,Naypyitaw,2019-02-25,11:24:00,Ewallet
371-85-5789,B,Mandalay,2019-03-05,10:40:00,Ewallet
273-16-6619,B,Mandalay,2019-03-15,12:20:00,Credit card
636-48-8204,A,Yangon,2019-02-17,11:15:00,Ewallet
549-59-1358,A,Yangon,2019-03-02,17:36:00,Ewallet
227-03-5010,A,Yangon,2019-03-22,19:20:00,Credit card
649-29-6775,B,Mandalay,2019-02-08,15:31:00,Cash
189-17-4241,A,Yangon,2019-03-10,12:17:00,Credit card
145-94-9061,B,Mandalay,2019-01-25,19:48:00,Cash
848-62-7243,A,Yangon,2019-03-15,15:36:00,Cash
871-79-8483,B,Mandalay,2019-02-25,19:39:00,Credit card
149-71-6266,B,Mandalay,2019-01-28,12:43:00,Cash
640-49-2076,B,Mandalay,2019-01-10,14:49:00,Cash
595-11-5460,A,Yangon,2019-03-15,10:12:00,Credit card
