SaleID,Invoice ID,CustomerID,ProductID,Quantity,Tax 5%,Total,cogs,gross income,Rating
1,750-67-8428,1792274006348302037,-6549492497609759748,7,26.1415,548.9715,522.83,26.1415,9.1
2,226-31-3081,6809895645874246465,-3971456470836921501,5,3.82,80.22,76.4,3.82,9.6
3,631-41-3108,-2177661642399427046,-1822035821437032560,7,16.2155,340.5255,324.31,16.2155,7.4
4,123-19-1176,-149253993290514649,4198096431364117856,8,23.288,489.048,465.76,23.288,8.4
5,373-73-7910,-2177661642399427046,-1559009109516188898,7,30.2085,634.3785,604.17,30.2085,5.3
6,699-14-3026,-2177661642399427046,-3700311323982183365,7,29.8865,627.6165,597.73,29.8865,4.1
7,355-53-5943,1792274006348302037,268664705401530869,6,20.652,433.692,413.04,20.652,5.8
8,315-22-5665,6809895645874246465,5612379170877777364,10,36.78,772.38,735.6,36.78,8.0
9,665-32-9167,1792274006348302037,-2838260794970360724,2,3.626,76.146,72.52,3.626,7.2
10,692-92-5582,1792274006348302037,5141818273417487788,3,8.226,172.746,164.52,8.226,5.9
11,351-62-0822,1792274006348302037,920908627713552198,4,2.896,60.816,57.92,2.896,4.5
12,529-56-3974,-149253993290514649,-7602208944937846083,4,5.102,107.142,102.04,5.102,6.8
13,365-64-0515,6809895645874246465,7781153204063023913,5,11.7375,246.4875,234.75,11.7375,7.1
14,252-56-2699,-2177661642399427046,-1000844327278250088,10,21.595,453.495,431.9,21.595,8.2
15,829-34-3910,6809895645874246465,-1067430795717119125,10,35.69,749.49,713.8,35.69,5.7
16,299-46-1805,1792274006348302037,3926988144703853736,6,28.116,590.436,562.32,28.116,4.5
17,656-95-9349,1792274006348302037,-5168946020811838545,7,24.1255,506.6355,482.51,24.1255,4.6
18,765-26-6951,-2177661642399427046,-4326482159826607496,6,21.783,457.443,435.66,21.783,6.9
19,329-62-1586,-2177661642399427046,3860589585934881924,3,8.2005,172.2105,164.01,8.2005,8.6
20,319-50-3348,6809895645874246465,-2591361125326130363,2,4.03,84.63,80.6,4.03,4.4
